iso3c,country,year,gdp_pc_current_usd,health_exp_pct_gdp,htn_prevalence_pct,htn_treatment_pct
BRA,Brazil,2016,8744.76,9.67,45.4,60.0
BRA,Brazil,2016,8744.76,9.67,45.4,69.1
BRA,Brazil,2016,8744.76,9.67,43.1,50.9
BRA,Brazil,2016,8744.76,9.67,43.1,60.0
BRA,Brazil,2016,8744.76,9.67,43.1,69.1
BRA,Brazil,2016,8744.76,9.67,47.6,50.9
BRA,Brazil,2016,8744.76,9.67,47.6,60.0
BRA,Brazil,2016,8744.76,9.67,47.6,69.1
BRA,Brazil,2017,8401.27,9.62,45.2,69.3
BRA,Brazil,2017,8401.27,9.62,45.2,60.6
BRA,Brazil,2017,8401.27,9.62,45.2,52.1
BRA,Brazil,2017,8401.27,9.62,42.8,69.3
BRA,Brazil,2017,8401.27,9.62,42.8,60.6
BRA,Brazil,2017,8401.27,9.62,42.8,52.1
BRA,Brazil,2017,8401.27,9.62,47.7,69.3
BRA,Brazil,2017,8401.27,9.62,47.7,60.6
BRA,Brazil,2017,8401.27,9.62,47.7,52.1
BRA,Brazil,2018,8640.28,9.51,47.8,61.3
BRA,Brazil,2018,8640.28,9.51,47.8,53.3
BRA,Brazil,2018,8640.28,9.51,47.8,69.6
BRA,Brazil,2018,8640.28,9.51,45.1,61.3
BRA,Brazil,2018,8640.28,9.51,45.1,53.3
BRA,Brazil,2018,8640.28,9.51,45.1,69.6
BRA,Brazil,2018,8640.28,9.51,42.4,61.3
BRA,Brazil,2018,8640.28,9.51,42.4,53.3
BRA,Brazil,2018,8640.28,9.51,42.4,69.6
BRA,Brazil,2019,8663.2,9.61,45.0,69.8
BRA,Brazil,2019,8663.2,9.61,45.0,61.9
BRA,Brazil,2019,8663.2,9.61,45.0,54.4
BRA,Brazil,2019,8663.2,9.61,47.9,69.8
BRA,Brazil,2019,8663.2,9.61,47.9,61.9
BRA,Brazil,2019,8663.2,9.61,47.9,54.4
BRA,Brazil,2019,8663.2,9.61,42.1,69.8
BRA,Brazil,2019,8663.2,9.61,42.1,61.9
BRA,Brazil,2019,8663.2,9.61,42.1,54.4
BRA,Brazil,2020,9004.37,9.53,,
BRA,Brazil,2021,8879.33,9.62,,
BRA,Brazil,2022,8845.98,9.77,,
BRA,Brazil,2023,9025.63,9.81,,
BRA,Brazil,2024,8934.12,9.63,,
CAN,Canada,2015,45652.09,10.94,25.3,73.3
CAN,Canada,2015,45652.09,10.94,25.3,74.2
CAN,Canada,2015,45652.09,10.94,25.3,73.7
CAN,Canada,2015,45652.09,10.94,21.0,73.3
CAN,Canada,2015,45652.09,10.94,21.0,74.2
CAN,Canada,2015,45652.09,10.94,21.0,73.7
CAN,Canada,2015,45652.09,10.94,23.1,73.3
CAN,Canada,2015,45652.09,10.94,23.1,74.2
CAN,Canada,2015,45652.09,10.94,23.1,73.7
CAN,Canada,2016,45825.57,10.89,20.8,73.7
CAN,Canada,2016,45825.57,10.89,20.8,72.7
CAN,Canada,2016,45825.57,10.89,20.8,74.7
CAN,Canada,2016,45825.57,10.89,25.0,73.7
CAN,Canada,2016,45825.57,10.89,25.0,72.7
CAN,Canada,2016,45825.57,10.89,25.0,74.7
CAN,Canada,2016,45825.57,10.89,22.9,73.7
CAN,Canada,2016,45825.57,10.89,22.9,72.7
CAN,Canada,2016,45825.57,10.89,22.9,74.7
CAN,Canada,2017,45447.74,10.8,20.5,75.1
CAN,Canada,2017,45447.74,10.8,20.5,73.6
CAN,Canada,2017,45447.74,10.8,20.5,72.0
CAN,Canada,2017,45447.74,10.8,22.6,75.1
CAN,Canada,2017,45447.74,10.8,22.6,73.6
CAN,Canada,2017,45447.74,10.8,22.6,72.0
CAN,Canada,2017,45447.74,10.8,24.8,75.1
CAN,Canada,2017,45447.74,10.8,24.8,73.6
CAN,Canada,2017,45447.74,10.8,24.8,72.0
CAN,Canada,2018,45585.98,10.8,20.2,71.3
CAN,Canada,2018,45585.98,10.8,20.2,73.5
CAN,Canada,2018,45585.98,10.8,20.2,75.4
CAN,Canada,2018,45585.98,10.8,24.5,71.3
CAN,Canada,2018,45585.98,10.8,24.5,73.5
CAN,Canada,2018,45585.98,10.8,24.5,75.4
CAN,Canada,2018,45585.98,10.8,22.4,71.3
CAN,Canada,2018,45585.98,10.8,22.4,73.5
CAN,Canada,2018,45585.98,10.8,22.4,75.4
CAN,Canada,2019,47386.42,10.66,24.3,73.3
CAN,Canada,2019,47386.42,10.66,24.3,75.8
CAN,Canada,2019,47386.42,10.66,24.3,70.6
CAN,Canada,2019,47386.42,10.66,19.9,73.3
CAN,Canada,2019,47386.42,10.66,19.9,75.8
CAN,Canada,2019,47386.42,10.66,19.9,70.6
CAN,Canada,2019,47386.42,10.66,22.1,73.3
CAN,Canada,2019,47386.42,10.66,22.1,75.8
CAN,Canada,2019,47386.42,10.66,22.1,70.6
CAN,Canada,2020,47166.34,10.89,,
CAN,Canada,2021,46373.38,10.72,,
CAN,Canada,2022,47139.69,10.83,,
CAN,Canada,2023,47440.73,10.9,,
CAN,Canada,2024,48853.64,10.88,,
CHL,Chile,2015,15144.04,9.14,34.8,57.0
CHL,Chile,2015,15144.04,9.14,34.8,68.5
CHL,Chile,2015,15144.04,9.14,34.8,46.4
CHL,Chile,2015,15144.04,9.14,40.2,57.0
CHL,Chile,2015,15144.04,9.14,40.2,68.5
CHL,Chile,2015,15144.04,9.14,40.2,46.4
CHL,Chile,2015,15144.04,9.14,37.5,57.0
CHL,Chile,2015,15144.04,9.14,37.5,68.5
CHL,Chile,2015,15144.04,9.14,37.5,46.4
CHL,Chile,2016,15328.23,9.35,37.1,68.5
CHL,Chile,2016,15328.23,9.35,37.1,57.4
CHL,Chile,2016,15328.23,9.35,37.1,47.4
CHL,Chile,2016,15328.23,9.35,34.3,68.5
CHL,Chile,2016,15328.23,9.35,34.3,57.4
CHL,Chile,2016,15328.23,9.35,34.3,47.4
CHL,Chile,2016,15328.23,9.35,39.9,68.5
CHL,Chile,2016,15328.23,9.35,39.9,57.4
CHL,Chile,2016,15328.23,9.35,39.9,47.4
CHL,Chile,2017,14766.87,9.28,36.8,57.8
CHL,Chile,2017,14766.87,9.28,36.8,68.4
CHL,Chile,2017,14766.87,9.28,36.8,48.2
CHL,Chile,2017,14766.87,9.28,33.9,57.8
CHL,Chile,2017,14766.87,9.28,33.9,68.4
CHL,Chile,2017,14766.87,9.28,33.9,48.2
CHL,Chile,2017,14766.87,9.28,39.6,57.8
CHL,Chile,2017,14766.87,9.28,39.6,68.4
CHL,Chile,2017,14766.87,9.28,39.6,48.2
CHL,Chile,2018,15229.12,9.34,36.4,58.1
CHL,Chile,2018,15229.12,9.34,36.4,49.1
CHL,Chile,2018,15229.12,9.34,36.4,68.3
CHL,Chile,2018,15229.12,9.34,33.5,58.1
CHL,Chile,2018,15229.12,9.34,33.5,49.1
CHL,Chile,2018,15229.12,9.34,33.5,68.3
CHL,Chile,2018,15229.12,9.34,39.3,58.1
CHL,Chile,2018,15229.12,9.34,39.3,49.1
CHL,Chile,2018,15229.12,9.34,39.3,68.3
CHL,Chile,2019,15112.35,9.33,33.1,58.5
CHL,Chile,2019,15112.35,9.33,33.1,49.9
CHL,Chile,2019,15112.35,9.33,33.1,68.2
CHL,Chile,2019,15112.35,9.33,36.1,58.5
CHL,Chile,2019,15112.35,9.33,36.1,49.9
CHL,Chile,2019,15112.35,9.33,36.1,68.2
CHL,Chile,2019,15112.35,9.33,39.0,58.5
CHL,Chile,2019,15112.35,9.33,39.0,49.9
CHL,Chile,2019,15112.35,9.33,39.0,68.2
CHL,Chile,2020,15174.41,9.37,,
CHL,Chile,2021,15741.45,9.12,,
CHL,Chile,2022,15278.94,9.39,,
CHL,Chile,2023,15488.8,9.35,,
CHL,Chile,2024,14922.98,9.42,,
CHN,China,2015,10862.74,5.32,30.8,38.8
CHN,China,2015,10862.74,5.32,30.8,44.7
CHN,China,2015,10862.74,5.32,30.8,34.0
CHN,China,2015,10862.74,5.32,25.7,38.8
CHN,China,2015,10862.74,5.32,25.7,44.7
CHN,China,2015,10862.74,5.32,25.7,34.0
CHN,China,2015,10862.74,5.32,28.3,38.8
CHN,China,2015,10862.74,5.32,28.3,44.7
CHN,China,2015,10862.74,5.32,28.3,34.0
CHN,China,2016,10716.4,5.39,25.3,39.0
CHN,China,2016,10716.4,5.39,25.3,34.3
CHN,China,2016,10716.4,5.39,25.3,44.7
CHN,China,2016,10716.4,5.39,30.7,39.0
CHN,China,2016,10716.4,5.39,30.7,34.3
CHN,China,2016,10716.4,5.39,30.7,44.7
CHN,China,2016,10716.4,5.39,28.0,39.0
CHN,China,2016,10716.4,5.39,28.0,34.3
CHN,China,2016,10716.4,5.39,28.0,44.7
CHN,China,2017,10557.12,5.36,27.8,44.7
CHN,China,2017,10557.12,5.36,27.8,34.6
CHN,China,2017,10557.12,5.36,27.8,39.1
CHN,China,2017,10557.12,5.36,30.5,44.7
CHN,China,2017,10557.12,5.36,30.5,34.6
CHN,China,2017,10557.12,5.36,30.5,39.1
CHN,China,2017,10557.12,5.36,24.9,44.7
CHN,China,2017,10557.12,5.36,24.9,34.6
CHN,China,2017,10557.12,5.36,24.9,39.1
CHN,China,2018,10534.76,5.49,24.5,44.6
CHN,China,2018,10534.76,5.49,24.5,34.8
CHN,China,2018,10534.76,5.49,24.5,39.2
CHN,China,2018,10534.76,5.49,27.5,44.6
CHN,China,2018,10534.76,5.49,27.5,34.8
CHN,China,2018,10534.76,5.49,27.5,39.2
CHN,China,2018,10534.76,5.49,30.4,44.6
CHN,China,2018,10534.76,5.49,30.4,34.8
CHN,China,2018,10534.76,5.49,30.4,39.2
CHN,China,2019,10762.36,5.52,27.3,39.2
CHN,China,2019,10762.36,5.52,27.3,44.6
CHN,China,2019,10762.36,5.52,27.3,35.1
CHN,China,2019,10762.36,5.52,30.2,39.2
CHN,China,2019,10762.36,5.52,30.2,44.6
CHN,China,2019,10762.36,5.52,30.2,35.1
CHN,China,2019,10762.36,5.52,24.1,39.2
CHN,China,2019,10762.36,5.52,24.1,44.6
CHN,China,2019,10762.36,5.52,24.1,35.1
CHN,China,2020,10922.26,5.45,,
CHN,China,2021,11076.23,5.46,,
CHN,China,2022,10918.88,5.43,,
CHN,China,2023,10793.97,5.41,,
CHN,China,2024,11022.81,5.39,,
COL,Colombia,2015,6070.94,7.68,31.7,41.3
COL,Colombia,2015,6070.94,7.68,31.7,61.2
COL,Colombia,2015,6070.94,7.68,31.7,51.8
COL,Colombia,2015,6070.94,7.68,31.5,41.3
COL,Colombia,2015,6070.94,7.68,31.5,61.2
COL,Colombia,2015,6070.94,7.68,31.5,51.8
COL,Colombia,2015,6070.94,7.68,31.1,41.3
COL,Colombia,2015,6070.94,7.68,31.1,61.2
COL,Colombia,2015,6070.94,7.68,31.1,51.8
COL,Colombia,2016,6148.66,7.67,31.0,42.5
COL,Colombia,2016,6148.66,7.67,31.0,52.8
COL,Colombia,2016,6148.66,7.67,31.0,62.0
COL,Colombia,2016,6148.66,7.67,31.3,42.5
COL,Colombia,2016,6148.66,7.67,31.3,52.8
COL,Colombia,2016,6148.66,7.67,31.3,62.0
COL,Colombia,2016,6148.66,7.67,31.5,42.5
COL,Colombia,2016,6148.66,7.67,31.5,52.8
COL,Colombia,2016,6148.66,7.67,31.5,62.0
COL,Colombia,2017,6198.19,7.8,31.0,43.5
COL,Colombia,2017,6198.19,7.8,31.0,53.6
COL,Colombia,2017,6198.19,7.8,31.0,62.7
COL,Colombia,2017,6198.19,7.8,31.2,43.5
COL,Colombia,2017,6198.19,7.8,31.2,53.6
COL,Colombia,2017,6198.19,7.8,31.2,62.7
COL,Colombia,2017,6198.19,7.8,31.4,43.5
COL,Colombia,2017,6198.19,7.8,31.4,53.6
COL,Colombia,2017,6198.19,7.8,31.4,62.7
COL,Colombia,2018,6179.96,7.75,31.2,44.6
COL,Colombia,2018,6179.96,7.75,31.2,54.4
COL,Colombia,2018,6179.96,7.75,31.2,63.3
COL,Colombia,2018,6179.96,7.75,30.9,44.6
COL,Colombia,2018,6179.96,7.75,30.9,54.4
COL,Colombia,2018,6179.96,7.75,30.9,63.3
COL,Colombia,2018,6179.96,7.75,31.1,44.6
COL,Colombia,2018,6179.96,7.75,31.1,54.4
COL,Colombia,2018,6179.96,7.75,31.1,63.3
COL,Colombia,2019,6187.82,7.73,30.8,55.3
COL,Colombia,2019,6187.82,7.73,30.8,45.6
COL,Colombia,2019,6187.82,7.73,30.8,63.9
COL,Colombia,2019,6187.82,7.73,31.0,55.3
COL,Colombia,2019,6187.82,7.73,31.0,45.6
COL,Colombia,2019,6187.82,7.73,31.0,63.9
COL,Colombia,2019,6187.82,7.73,31.1,55.3
COL,Colombia,2019,6187.82,7.73,31.1,45.6
COL,Colombia,2019,6187.82,7.73,31.1,63.9
COL,Colombia,2020,6113.64,7.77,,
COL,Colombia,2021,6210.13,7.91,,
COL,Colombia,2022,6434.28,7.79,,
COL,Colombia,2023,6169.57,7.68,,
COL,Colombia,2024,6428.32,7.8,,
DEU,Germany,2015,48713.52,11.76,26.7,61.6
DEU,Germany,2015,48713.52,11.76,26.7,58.3
DEU,Germany,2015,48713.52,11.76,26.7,66.3
DEU,Germany,2015,48713.52,11.76,36.7,61.6
DEU,Germany,2015,48713.52,11.76,36.7,58.3
DEU,Germany,2015,48713.52,11.76,36.7,66.3
DEU,Germany,2015,48713.52,11.76,31.7,61.6
DEU,Germany,2015,48713.52,11.76,31.7,58.3
DEU,Germany,2015,48713.52,11.76,31.7,66.3
DEU,Germany,2016,47521.11,11.74,31.2,59.0
DEU,Germany,2016,47521.11,11.74,31.2,61.9
DEU,Germany,2016,47521.11,11.74,31.2,66.1
DEU,Germany,2016,47521.11,11.74,36.1,59.0
DEU,Germany,2016,47521.11,11.74,36.1,61.9
DEU,Germany,2016,47521.11,11.74,36.1,66.1
DEU,Germany,2016,47521.11,11.74,26.2,59.0
DEU,Germany,2016,47521.11,11.74,26.2,61.9
DEU,Germany,2016,47521.11,11.74,26.2,66.1
DEU,Germany,2017,48432.02,11.75,35.5,65.7
DEU,Germany,2017,48432.02,11.75,35.5,59.7
DEU,Germany,2017,48432.02,11.75,35.5,62.2
DEU,Germany,2017,48432.02,11.75,30.7,65.7
DEU,Germany,2017,48432.02,11.75,30.7,59.7
DEU,Germany,2017,48432.02,11.75,30.7,62.2
DEU,Germany,2017,48432.02,11.75,25.8,65.7
DEU,Germany,2017,48432.02,11.75,25.8,59.7
DEU,Germany,2017,48432.02,11.75,25.8,62.2
DEU,Germany,2018,49316.57,11.77,30.2,62.4
DEU,Germany,2018,49316.57,11.77,30.2,65.4
DEU,Germany,2018,49316.57,11.77,30.2,60.4
DEU,Germany,2018,49316.57,11.77,25.4,62.4
DEU,Germany,2018,49316.57,11.77,25.4,65.4
DEU,Germany,2018,49316.57,11.77,25.4,60.4
DEU,Germany,2018,49316.57,11.77,34.9,62.4
DEU,Germany,2018,49316.57,11.77,34.9,65.4
DEU,Germany,2018,49316.57,11.77,34.9,60.4
DEU,Germany,2019,49291.76,11.76,25.0,62.6
DEU,Germany,2019,49291.76,11.76,25.0,65.0
DEU,Germany,2019,49291.76,11.76,25.0,61.1
DEU,Germany,2019,49291.76,11.76,29.7,62.6
DEU,Germany,2019,49291.76,11.76,29.7,65.0
DEU,Germany,2019,49291.76,11.76,29.7,61.1
DEU,Germany,2019,49291.76,11.76,34.4,62.6
DEU,Germany,2019,49291.76,11.76,34.4,65.0
DEU,Germany,2019,49291.76,11.76,34.4,61.1
DEU,Germany,2020,49077.55,11.84,,
DEU,Germany,2021,47561.13,11.74,,
DEU,Germany,2022,48668.44,11.72,,
DEU,Germany,2023,49015.86,11.98,,
DEU,Germany,2024,48608.8,11.93,,
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,34.7,44.1
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,34.7,51.8
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,34.7,34.4
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,38.1,44.1
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,38.1,51.8
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,38.1,34.4
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,41.4,44.1
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,41.4,51.8
EGY,"Egypt, Arab Rep.",2015,3616.06,4.77,41.4,34.4
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,41.2,34.6
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,41.2,52.0
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,41.2,44.3
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,34.9,34.6
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,34.9,52.0
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,34.9,44.3
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,38.1,34.6
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,38.1,52.0
EGY,"Egypt, Arab Rep.",2016,3618.59,4.73,38.1,44.3
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,35.1,34.6
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,35.1,52.0
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,35.1,44.2
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,38.2,34.6
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,38.2,52.0
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,38.2,44.2
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,41.1,34.6
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,41.1,52.0
EGY,"Egypt, Arab Rep.",2017,3619.91,4.7,41.1,44.2
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,40.9,44.2
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,40.9,52.1
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,40.9,34.6
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,38.2,44.2
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,38.2,52.1
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,38.2,34.6
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,35.3,44.2
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,35.3,52.1
EGY,"Egypt, Arab Rep.",2018,3579.88,4.74,35.3,34.6
EGY,"Egypt, Arab Rep.",2019,3586.69,4.75,38.2,34.6
